epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,313.912,0.88112,1.37343,1.3733,0.77217,0.7401,0.81911,0.65942,0.86204,1.09269,1.48737,0.00332724,0.00332724,0.00332724
2,620.979,0.87483,0.93584,1.34402,0.80729,0.76288,0.82925,0.6233,0.91015,0.90961,1.57529,0.00659463,0.00659463,0.00659463
3,926.239,0.9811,1.05969,1.4268,0.75056,0.67017,0.74734,0.53309,1.05093,1.26028,1.74796,0.00979603,0.00979603,0.00979603
4,1231.23,1.04891,1.1583,1.46996,0.68278,0.65028,0.70657,0.49977,1.0885,1.49127,1.77083,0.009703,0.009703,0.009703
5,1534.84,1.01948,1.10061,1.45137,0.8244,0.71472,0.82101,0.6088,0.98633,1.1104,1.62761,0.009604,0.009604,0.009604
6,1838.86,0.9892,1.04079,1.42049,0.823,0.77866,0.83958,0.63293,0.96489,0.972,1.6071,0.009505,0.009505,0.009505
7,2142.86,0.95546,0.96057,1.39355,0.81135,0.72794,0.84165,0.6485,0.92487,1.00582,1.55427,0.009406,0.009406,0.009406
2,322.901,0.85286,0.89908,1.32728,0.76461,0.73157,0.82281,0.63149,0.8374,1.52791,1.41362,0.00659463,0.00659463,0.00659463
3,636.965,0.97618,1.06033,1.41728,0.75631,0.58049,0.69278,0.47471,1.03506,2.30594,1.68978,0.00979603,0.00979603,0.00979603
4,950.33,1.05951,1.19568,1.48382,0.67347,0.60648,0.68877,0.48381,1.0031,3.43264,1.607,0.009703,0.009703,0.009703
5,1262.62,1.01994,1.09112,1.44209,0.83656,0.70715,0.81204,0.59845,0.9139,1.69994,1.50095,0.009604,0.009604,0.009604
6,1575.28,0.99107,1.02802,1.42117,0.86226,0.7954,0.84817,0.63418,0.84665,1.54842,1.39569,0.009505,0.009505,0.009505
7,1887.01,0.96379,0.99,1.39572,0.84048,0.7956,0.84539,0.64747,0.81892,1.76229,1.39993,0.009406,0.009406,0.009406
8,2198.19,0.9339,0.92307,1.37464,0.80956,0.75653,0.84799,0.65901,0.79825,1.89066,1.36032,0.009307,0.009307,0.009307
9,2510.88,0.91499,0.89591,1.35569,0.84784,0.80918,0.86755,0.67864,0.79194,1.32226,1.34012,0.009208,0.009208,0.009208
10,2823.54,0.90573,0.86743,1.34445,0.89489,0.83695,0.90336,0.72032,0.73936,0.81044,1.29313,0.009109,0.009109,0.009109
11,3134.78,0.89112,0.83179,1.33545,0.90007,0.84568,0.90193,0.72498,0.75297,1.21357,1.29773,0.00901,0.00901,0.00901
12,3446.38,0.87306,0.79854,1.32562,0.87973,0.83678,0.89546,0.72438,0.73314,1.17041,1.28335,0.008911,0.008911,0.008911
13,3758.01,0.86385,0.78537,1.31737,0.85806,0.83041,0.87623,0.70156,0.75139,1.34,1.28505,0.008812,0.008812,0.008812
14,4069.76,0.85619,0.7837,1.31003,0.88716,0.84895,0.90355,0.72378,0.73449,1.10871,1.27422,0.008713,0.008713,0.008713
15,4381.23,0.84243,0.76344,1.30433,0.88123,0.83882,0.90404,0.73418,0.7017,1.73546,1.24946,0.008614,0.008614,0.008614
16,4692.41,0.83168,0.7421,1.29225,0.90807,0.84499,0.90407,0.74016,0.69262,1.30316,1.24051,0.008515,0.008515,0.008515
17,5004.55,0.8185,0.72301,1.28274,0.9031,0.8517,0.9104,0.74846,0.695,1.24902,1.23989,0.008416,0.008416,0.008416
18,5316.48,0.80849,0.71389,1.27666,0.87549,0.85031,0.90015,0.73409,0.70423,1.17939,1.24041,0.008317,0.008317,0.008317
19,5628,0.80812,0.70363,1.27092,0.91694,0.83939,0.9139,0.75002,0.69041,0.68439,1.22711,0.008218,0.008218,0.008218
20,5940.1,0.80061,0.69128,1.26769,0.91014,0.8641,0.91878,0.76427,0.67001,0.79092,1.20736,0.008119,0.008119,0.008119
21,6251.63,0.80211,0.69011,1.26624,0.89429,0.86075,0.91127,0.75612,0.67063,0.9379,1.21332,0.00802,0.00802,0.00802
22,6563.01,0.7862,0.66443,1.25243,0.93158,0.84913,0.91069,0.75598,0.66455,0.96202,1.19443,0.007921,0.007921,0.007921
23,6874.68,0.7875,0.65799,1.25197,0.92722,0.85375,0.91742,0.76202,0.65342,1.08936,1.18385,0.007822,0.007822,0.007822
24,7185.43,0.77046,0.65499,1.24,0.90533,0.87382,0.92494,0.76778,0.67212,0.73631,1.21118,0.007723,0.007723,0.007723
25,7496.37,0.76929,0.64146,1.24612,0.90883,0.85372,0.91756,0.76498,0.66266,1.02192,1.19293,0.007624,0.007624,0.007624
25,317.403,0.76104,0.63089,1.23905,0.90715,0.86497,0.9215,0.77474,0.65772,0.89067,1.19628,0.007624,0.007624,0.007624
26,632.485,0.75925,0.63877,1.23522,0.91304,0.88219,0.92751,0.77399,0.67017,0.72202,1.20926,0.007525,0.007525,0.007525
