epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.992,0.93914,2.2707,1.39261,0.71488,0.64853,0.69799,0.48489,0.92434,8.34131,1.49675,0.00332724,0.00332724,0.00332724
2,406.305,0.95967,1.56697,1.38846,0.70209,0.65092,0.71064,0.44362,1.14637,2.2298,1.74806,0.00659463,0.00659463,0.00659463
3,601.926,1.04818,1.47544,1.45433,0.67362,0.65248,0.70536,0.45183,1.14107,4.29008,1.82993,0.00979603,0.00979603,0.00979603
4,796.143,1.0897,1.39159,1.48172,0.74805,0.66234,0.73261,0.48408,1.07793,2.08758,1.66117,0.009703,0.009703,0.009703
5,992.551,1.06176,1.26405,1.45995,0.78168,0.71077,0.78119,0.55581,0.99563,1.87265,1.59142,0.009604,0.009604,0.009604
6,191.273,1.01844,1.16434,1.42595,0.74874,0.68435,0.759,0.53404,0.96146,2.88837,1.54089,0.009505,0.009505,0.009505
7,373.643,0.99491,1.11072,1.4051,0.84128,0.7503,0.82798,0.60331,0.95476,1.07507,1.5248,0.009406,0.009406,0.009406
8,555.734,0.97563,1.07116,1.39652,0.78518,0.73044,0.81945,0.60589,0.88022,1.73266,1.46917,0.009307,0.009307,0.009307
9,734.871,0.94634,0.9889,1.36557,0.75318,0.76327,0.792,0.59203,0.88278,1.48855,1.44,0.009208,0.009208,0.009208
10,914.116,0.93256,0.96333,1.35936,0.88722,0.79951,0.86747,0.6609,0.84442,1.27407,1.38887,0.009109,0.009109,0.009109
11,1094.37,0.9361,0.96948,1.35811,0.84841,0.73408,0.82838,0.62526,0.86121,1.94156,1.38491,0.00901,0.00901,0.00901
12,1275.18,0.91876,0.92436,1.34681,0.81891,0.74701,0.83657,0.64298,0.81364,1.09566,1.36767,0.008911,0.008911,0.008911
